player_id,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
1,116,3.75,102,1,1,2,6,4,18,0.58,16,0,0,0,1,1
2,6,0.18,6,0,0,0,0,0,2,0.06,2,0,0,0,0,0
3,137,4.33,121,1,4,7,3,1,20,0.63,13,0,2,4,1,0
4,81,2.71,51,0,6,10,13,1,17,0.57,10,0,2,0,5,0
5,107,3.77,63,39,0,4,0,1,10,0.35,7,3,0,0,0,0
6,102,3.46,71,0,4,16,7,4,16,0.54,7,0,1,3,2,3
7,108,4.68,78,21,2,5,1,1,14,0.61,10,2,0,2,0,0
8,63,2.5,54,1,0,4,3,1,6,0.24,6,0,0,0,0,0
9,55,2.06,45,6,0,2,2,0,3,0.11,2,0,0,0,1,0
10,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
11,27,1.45,25,0,0,1,1,0,2,0.11,2,0,0,0,0,0
12,47,2.59,37,3,3,1,3,0,8,0.44,5,0,1,0,2,0
13,9,0.51,7,0,0,1,0,1,1,0.06,1,0,0,0,0,0
14,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0
15,10,1.0,4,0,1,2,3,0,0,0.0,0,0,0,0,0,0
16,26,2.45,21,0,0,3,2,0,6,0.57,4,0,0,1,1,0
17,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0
18,35,4.12,28,3,1,1,1,1,8,0.94,6,2,0,0,0,0
19,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0
20,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21,5,2.18,5,0,0,0,0,0,2,0.87,2,0,0,0,0,0
22,13,4.38,11,1,0,1,0,0,3,1.01,3,0,0,0,0,0
23,6,3.35,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0
24,4,7.66,2,1,0,1,0,0,1,1.91,1,0,0,0,0,0
25,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
26,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
27,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
28,132,4.21,102,11,11,4,1,3,18,0.57,16,0,2,0,0,0
29,90,3.11,59,9,8,6,6,2,17,0.59,13,0,2,0,1,1
30,119,3.84,87,8,7,11,5,1,13,0.42,11,0,0,1,1,0
31,8,0.28,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0
32,135,4.83,92,5,23,5,10,0,26,0.93,17,0,8,0,1,0
33,51,1.94,41,0,0,9,0,1,13,0.5,9,0,0,4,0,0
34,34,1.4,32,0,0,0,1,1,6,0.25,6,0,0,0,0,0
35,51,2.22,45,0,1,3,2,0,6,0.26,3,0,1,1,1,0
36,12,0.51,10,0,0,2,0,0,1,0.04,1,0,0,0,0,0
37,85,4.41,47,28,0,7,1,2,7,0.36,2,4,0,1,0,0
38,19,1.06,16,0,0,3,0,0,2,0.11,2,0,0,0,0,0
