player_id,MP,starts,mins,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
2,34,34,"3,060",19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3
20,4,4,337,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,0.0
25,1,0,23,0,0.0,4,4,100.0,0,0,0,0,0.0,0,0,0,0,0.0
31,29,29,"2,609",34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0
47,7,7,630,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0
51,2,2,177,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,0.0
62,1,0,3,1,30.0,2,1,50.0,0,0,0,0,0.0,0,0,0,0,0.0
64,35,35,"3,150",30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
85,3,3,225,1,0.4,5,4,80.0,2,1,0,1,33.3,0,0,0,0,0.0
88,1,0,45,0,0.0,3,3,100.0,0,0,0,1,0.0,0,0,0,0,0.0
100,27,27,"2,425",30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3
108,11,11,990,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0
121,1,0,5,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0
123,32,32,"2,880",29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0
141,6,6,535,3,0.5,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100.0
150,1,0,5,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
158,23,23,"2,070",27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0
163,15,15,"1,350",19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0
183,30,30,"2,699",33,1.1,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0
201,9,8,721,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,0.0
203,33,33,"2,970",35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3
226,4,4,360,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0
232,36,36,"3,240",31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0
255,2,2,180,5,2.5,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0
266,31,31,"2,773",40,1.3,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50.0
279,7,7,630,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,0.0
290,1,0,17,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
291,36,36,"3,239",43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25.0
311,3,2,176,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0,0.0
323,1,0,5,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
