player_id,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_comp,passes_offside,passes_blocked
1,1679,1654,22,14,8,11,32,8,0,0,0,0,1453,3,44
2,1236,992,242,41,0,1,0,0,0,0,0,0,1078,2,0
3,2168,2120,37,17,12,25,51,19,1,0,0,0,1835,11,37
4,656,641,14,0,4,4,21,1,0,0,0,0,476,1,21
5,2316,2097,210,92,4,35,153,4,113,52,47,0,2045,9,18
6,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28
7,1328,1116,207,24,1,6,196,124,59,22,30,0,1027,5,34
8,1935,1787,139,58,1,29,76,71,0,0,0,0,1671,9,30
9,1389,1236,150,16,5,9,21,134,0,0,0,0,1181,3,30
10,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5
11,1308,1247,59,33,0,3,24,26,0,0,0,0,1180,2,10
12,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16
13,1010,989,20,15,0,0,0,1,0,0,0,0,932,1,2
14,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25
15,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9
16,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7
17,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6
18,367,335,31,6,5,6,31,0,21,10,6,0,276,1,13
19,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9
20,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1
21,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2
22,189,169,20,3,0,6,18,17,0,0,0,0,158,0,0
23,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3
24,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1
25,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0
26,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
27,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
28,1746,1669,73,33,7,2,39,14,23,11,7,0,1575,4,22
29,1074,1035,36,3,3,2,101,12,21,5,13,0,832,3,48
30,1994,1738,252,80,6,17,68,146,18,4,7,0,1717,4,45
31,1228,1027,190,43,0,2,0,0,0,0,0,0,1033,11,2
32,1032,984,42,5,7,8,108,25,10,0,0,0,760,6,27
33,492,435,55,1,2,1,3,3,0,0,0,0,338,2,9
34,1541,1292,245,43,1,5,36,202,0,0,0,0,1320,4,13
35,733,724,7,1,1,1,13,1,0,0,0,0,619,2,8
36,1691,1584,105,34,0,3,3,11,0,0,0,0,1541,2,9
37,1277,1055,218,51,1,20,122,104,63,28,30,0,1055,4,16
38,1184,1153,30,15,0,2,0,4,0,0,0,0,1084,1,7
39,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14
40,902,862,39,19,0,2,0,4,0,0,0,0,815,1,7
41,833,807,26,20,0,4,1,2,0,0,0,0,735,0,2
42,666,628,37,1,0,3,28,36,0,0,0,0,566,1,12
43,818,772,43,21,7,3,32,5,17,4,8,0,711,3,11
44,421,410,10,0,7,1,20,7,3,2,0,0,330,1,11
45,182,153,26,2,0,0,1,1,1,0,0,0,133,3,6
46,431,401,30,27,1,1,4,3,0,0,0,0,388,0,2
47,247,220,27,10,0,0,0,0,0,0,0,0,213,0,0
48,193,184,6,0,1,1,22,2,0,0,0,0,120,3,6
49,259,242,17,6,1,0,5,11,0,0,0,0,230,0,8
50,132,131,1,1,1,0,0,0,0,0,0,0,103,0,5
51,54,45,9,1,0,0,0,0,0,0,0,0,41,0,0
52,40,39,1,0,0,0,0,1,0,0,0,0,38,0,0
53,64,62,2,2,0,0,0,0,0,0,0,0,59,0,0
54,39,37,2,0,0,0,2,1,1,1,0,0,33,0,1
55,35,28,7,0,0,0,0,7,0,0,0,0,28,0,2
