player_id,touches,touches_dpa,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_apa,touches_live_ball,T_O,TO_won,TO_won_pct,TO_tkld,TO_tkld_pct,carries,carries_dist,carries_prog_dist,prog_carries,carries_into_final_3rd,carries_into_pa,miscontrols,dispossessed,passes_rec,prog_passes_rec
1,1982,50,301,1079,628,64,1982,38,19,50.0,17,44.7,1191,6710,3583,92,77,13,39,19,1472,127
2,1293,1074,1289,4,0,0,1293,0,0,0.0,0,0.0,806,3232,1881,0,0,0,0,0,814,0
3,2425,43,424,1281,739,58,2425,59,29,49.2,24,40.7,1556,7283,3389,68,73,9,39,29,1941,144
4,967,26,83,422,474,176,967,51,33,64.7,11,21.6,540,3480,1696,68,28,40,81,35,756,192
5,2591,81,632,1389,586,26,2581,15,7,46.7,7,46.7,1604,7646,3868,45,65,1,27,7,1878,34
6,1176,12,88,532,564,178,1173,68,19,27.9,39,57.4,735,3228,1486,54,29,28,68,45,878,172
7,1538,35,340,572,641,74,1538,18,6,33.3,12,66.7,841,3487,1924,51,34,10,29,7,1057,198
8,2127,209,769,986,388,35,2127,19,10,52.6,8,42.1,1434,7294,4361,63,66,6,12,10,1612,77
9,1586,109,540,766,286,27,1586,15,5,33.3,10,66.7,832,3149,1584,18,15,2,18,1,1082,82
10,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24
11,1473,140,599,693,184,31,1473,7,2,28.6,1,14.3,923,4411,2195,25,25,1,7,0,1092,47
12,977,32,231,385,367,73,977,33,14,42.4,12,36.4,502,2532,1121,50,19,11,29,9,626,147
13,1155,111,571,563,26,14,1155,2,2,100.0,0,0.0,608,2800,1460,6,5,0,7,0,777,2
14,1285,96,425,553,317,52,1285,21,12,57.1,6,28.6,733,3634,1863,42,32,12,21,14,876,88
15,737,88,350,306,84,19,737,13,5,38.5,7,53.8,497,2911,1551,24,24,1,10,4,576,20
16,428,28,96,194,140,56,428,21,7,33.3,13,61.9,250,1689,781,27,17,10,17,16,301,40
17,813,19,197,483,136,3,813,5,3,60.0,2,40.0,547,2487,1030,5,7,0,6,3,636,8
18,453,0,28,189,240,37,452,22,12,54.5,8,36.4,294,1426,584,16,16,4,22,15,356,58
19,358,8,25,169,165,41,358,6,1,16.7,5,83.3,208,819,272,12,8,4,22,10,281,77
20,200,173,200,0,0,0,200,0,0,0.0,0,0.0,147,639,377,0,0,0,0,0,139,0
