Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Lautaro Martínez,10,ar ARG,FW,27-282,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.1,2,0,21,30,70.0,4,19,1,0,0
Marcus Thuram,9,fr FRA,FW,27-298,90,0,0,0,0,2,1,1,0,31,1,0,1,0.2,0.2,0.0,0,0,14,21,66.7,1,18,2,0,0
Henrikh Mkhitaryan,22,am ARM,CM,36-130,61,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,8,0,0,0
Carlos Augusto,30,br BRA,WB,26-144,29,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,9,11,81.8,1,4,0,0,0
Hakan Çalhanoğlu,20,tr TUR,CM,31-112,69,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.2,4,0,29,41,70.7,5,24,0,0,0
Kristjan Asllani,21,al ALB,CM,23-083,21,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,1,0,9,13,69.2,1,11,0,0,0
Nicolò Barella,23,it ITA,CM,28-113,90,0,0,0,0,2,0,0,0,45,3,0,0,0.0,0.0,0.1,4,0,33,40,82.5,7,24,1,1,1
Federico Dimarco,32,it ITA,WB,27-202,53,0,0,0,0,0,0,0,0,29,1,1,3,0.0,0.0,0.0,0,0,14,22,63.6,1,20,1,0,0
Nicola Zalewski,59,pl POL,"CM,WB",23-128,37,0,0,0,0,2,1,1,0,13,0,0,0,0.1,0.1,0.0,0,0,7,7,100.0,3,9,1,3,1
Denzel Dumfries,2,nl NED,WB,29-043,90,0,0,0,0,0,0,0,0,36,2,1,2,0.0,0.0,0.0,1,0,17,27,63.0,0,18,2,2,0
Alessandro Bastoni,95,it ITA,CB,26-048,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.0,0,0,45,50,90.0,5,35,0,1,1
Francesco Acerbi,15,it ITA,CB,37-110,90,0,0,0,0,1,0,1,0,46,0,3,1,0.1,0.1,0.0,0,0,31,38,81.6,0,29,0,0,0
Benjamin Pavard,28,fr FRA,CB,29-064,53,0,0,0,0,0,0,0,0,27,1,1,1,0.0,0.0,0.0,0,0,20,23,87.0,2,14,0,0,0
Yann Aurel Bisseck,31,de GER,CB,24-183,8,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0
Matteo Darmian,36,it ITA,CB,35-180,29,0,0,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.0,0,0,14,15,93.3,0,12,0,0,0
Yann Sommer,1,ch SUI,GK,36-165,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,36,48,75.0,0,37,0,0,0
16 Players,,,,,990,0,0,0,0,8,2,3,0,467,12,8,10,0.5,0.5,0.4,12,0,309,398,77.6,31,284,8,7,3
