Rk,Player,Unnamed: 2,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1.0,Julen Agirrezabala,,GK,Athletic Club,es La Liga,20.0,2000.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.27,0.0,0.0,13.0,31.0,41.9,56.0,12.0,33.9,33.1,26.0,46.2,36.0,48.0,1.0,2.1,6.0,1.5,17.5
2.0,Doğan Alemdar,,GK,Rennes,fr Ligue 1,18.0,2002.0,12.0,13.0,1.0,0.0,1.0,0.0,12.3,0.29,-0.7,-0.06,54.0,147.0,36.7,321.0,54.0,27.4,30.3,70.0,84.3,54.9,146.0,8.0,5.5,24.0,2.0,19.1
3.0,Alisson,,GK,Liverpool,eng Premier League,28.0,1992.0,36.0,24.0,0.0,0.0,3.0,1.0,24.4,0.25,1.4,0.04,114.0,258.0,44.2,1216.0,211.0,16.5,26.3,172.0,33.1,33.4,340.0,22.0,6.5,89.0,2.47,18.7
4.0,Alphonse Areola,,GK,West Ham,eng Premier League,28.0,1993.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,0.0,5.5
5.0,Kepa Arrizabalaga,,GK,Chelsea,eng Premier League,26.0,1994.0,4.0,2.0,0.0,0.0,1.0,0.0,3.2,0.25,1.2,0.3,8.0,29.0,27.6,117.0,29.0,19.7,26.4,21.0,28.6,27.6,44.0,2.0,4.5,8.0,2.0,18.8
6.0,Sergio Asenjo,,GK,Villarreal,es La Liga,32.0,1989.0,6.0,9.0,1.0,0.0,1.0,0.0,8.9,0.28,-0.1,-0.01,15.0,52.0,28.8,170.0,38.0,21.2,28.0,56.0,28.6,32.2,105.0,3.0,2.9,14.0,2.33,16.8
7.0,Emil Audero,,GK,Sampdoria,it Serie A,24.0,1997.0,28.4,48.0,1.0,1.0,4.0,1.0,43.1,0.32,-3.9,-0.14,203.0,472.0,43.0,786.0,120.0,41.7,36.3,212.0,67.9,47.6,418.0,22.0,5.3,25.0,0.88,13.5
8.0,Daniel Bachmann,,GK,Watford,eng Premier League,27.0,1994.0,12.0,28.0,3.0,1.0,3.0,2.0,23.2,0.3,-2.8,-0.23,71.0,207.0,34.3,275.0,47.0,53.8,40.9,87.0,67.8,47.8,187.0,7.0,3.7,12.0,1.0,16.1
9.0,Édgar Badía,,GK,Elche,es La Liga,29.0,1992.0,24.0,35.0,7.0,0.0,5.0,0.0,37.3,0.26,2.3,0.1,182.0,408.0,44.6,618.0,106.0,41.9,36.1,210.0,71.0,49.2,399.0,17.0,4.3,41.0,1.71,16.2
10.0,Nicola Bagnolini,,GK,Bologna,it Serie A,17.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.2,5.78,0.0,4.0,0.0,3.0,0.0,100.0,61.0,1.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,
11.0,Stefan Bajic,,GK,Saint-Étienne,fr Ligue 1,19.0,2001.0,5.7,13.0,2.0,1.0,0.0,0.0,13.2,0.39,0.2,0.04,28.0,75.0,37.3,141.0,40.0,34.0,31.6,44.0,61.4,46.3,82.0,4.0,4.9,11.0,1.94,17.1
12.0,Francesco Bardi,,GK,Bologna,it Serie A,29.0,1992.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,0.3,0.7,0.37,5.0,19.0,26.3,35.0,6.0,40.0,33.0,13.0,38.5,32.1,24.0,2.0,8.3,0.0,0.0,5.5
13.0,Oliver Baumann,,GK,Hoffenheim,de Bundesliga,31.0,1990.0,33.0,57.0,2.0,0.0,9.0,1.0,51.5,0.33,-4.5,-0.14,138.0,393.0,35.1,1302.0,185.0,26.1,29.0,216.0,24.5,28.8,420.0,27.0,6.4,65.0,1.97,16.7
14.0,Asmir Begović,,GK,Everton,eng Premier League,34.0,1987.0,3.0,8.0,1.0,0.0,3.0,1.0,4.2,0.18,-2.8,-0.94,20.0,62.0,32.3,54.0,5.0,74.1,48.9,31.0,71.0,51.3,50.0,3.0,6.0,2.0,0.67,10.7
15.0,Vid Belec,,GK,Salernitana,it Serie A,31.0,1990.0,21.5,49.0,3.0,0.0,4.0,2.0,40.8,0.28,-6.2,-0.29,147.0,339.0,43.4,392.0,76.0,52.6,39.5,182.0,73.1,49.9,329.0,12.0,3.6,14.0,0.65,12.7
