Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1.0,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19.0,2003.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.9,1.0,2.0,50.0,7.0,3.0,28.6,25.7,1.0,0.0,24.0,1.0,0.0,0.0,2.0,13.85,33.0
2.0,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21.0,2000.0,7.5,6.0,0.0,0.0,0.0,0.0,5.5,0.3,-0.5,-0.06,37.0,101.0,36.6,179.0,33.0,29.6,30.5,62.0,77.4,55.4,96.0,11.0,11.5,10.0,1.33,15.4
3.0,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19.0,2002.0,4.5,8.0,1.0,0.0,2.0,0.0,6.5,0.29,-1.5,-0.32,23.0,67.0,34.3,109.0,14.0,38.5,33.0,35.0,71.4,51.4,75.0,5.0,6.7,5.0,1.11,14.8
4.0,Alisson,br BRA,GK,Liverpool,eng Premier League,29.0,1992.0,37.0,43.0,2.0,0.0,0.0,2.0,51.1,0.33,10.1,0.27,116.0,283.0,41.0,1256.0,210.0,18.4,26.9,193.0,26.9,31.3,397.0,23.0,5.8,89.0,2.41,19.8
5.0,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29.0,1993.0,3.4,7.0,2.0,0.0,1.0,0.0,7.3,0.33,0.3,0.09,14.0,37.0,37.8,61.0,14.0,39.3,33.4,30.0,43.3,33.0,47.0,2.0,4.3,1.0,0.29,10.3
6.0,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27.0,1994.0,28.5,33.0,1.0,1.0,4.0,3.0,35.0,0.29,5.0,0.18,68.0,213.0,31.9,864.0,151.0,17.1,26.3,182.0,35.7,31.5,332.0,15.0,4.5,52.0,1.82,16.9
7.0,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33.0,1989.0,10.0,21.0,1.0,1.0,0.0,0.0,16.8,0.31,-4.2,-0.42,58.0,162.0,35.8,260.0,46.0,38.8,35.8,92.0,66.3,51.2,166.0,5.0,3.0,17.0,1.7,16.1
8.0,Emil Audero,id IDN,GK,Sampdoria,it Serie A,25.0,1997.0,25.0,39.0,5.0,0.0,4.0,2.0,32.3,0.21,-4.7,-0.19,159.0,441.0,36.1,714.0,104.0,45.8,39.1,200.0,57.0,44.2,356.0,24.0,6.7,23.0,0.92,13.9
9.0,Édgar Badía,es ESP,GK,Elche,es La Liga,30.0,1992.0,36.0,63.0,7.0,0.0,4.0,2.0,69.5,0.31,8.5,0.24,191.0,422.0,45.3,772.0,166.0,33.8,34.2,296.0,54.4,41.7,574.0,21.0,3.7,20.0,0.56,12.7
10.0,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30.0,1992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.16,0.6,0.56,5.0,9.0,55.6,13.0,5.0,38.5,35.6,9.0,44.4,33.4,10.0,0.0,0.0,0.0,0.0,
11.0,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32.0,1990.0,34.0,57.0,2.0,1.0,11.0,1.0,50.4,0.31,-5.6,-0.16,206.0,525.0,39.2,1164.0,168.0,35.3,33.6,249.0,45.8,39.3,529.0,43.0,8.1,43.0,1.26,13.4
12.0,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20.0,2002.0,32.0,56.0,1.0,1.0,7.0,4.0,35.1,0.28,-16.9,-0.53,212.0,629.0,33.7,935.0,144.0,50.2,38.1,237.0,67.5,50.0,456.0,36.0,7.9,48.0,1.5,15.1
13.0,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35.0,1987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.5,0.49,4.0,13.0,30.8,22.0,5.0,36.4,34.9,8.0,62.5,46.8,23.0,1.0,4.3,0.0,0.0,5.0
14.0,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29.0,1993.0,2.0,3.0,0.0,0.0,0.0,0.0,3.9,0.3,0.9,0.44,10.0,29.0,34.5,57.0,14.0,38.6,32.9,23.0,30.4,32.2,37.0,5.0,13.5,1.0,0.5,8.0
15.0,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25.0,1997.0,27.0,62.0,8.0,1.0,6.0,3.0,51.4,0.31,-7.6,-0.28,94.0,291.0,32.3,479.0,124.0,39.5,34.6,185.0,55.1,42.6,357.0,21.0,5.9,18.0,0.67,11.4
